source,target,weight,PMID
Ar,Klk1b8,1,10075669;10547578;10625666;10898343;11006269;11034093;11059779;11238180;11299734;11377978;11504717;11532861;11571582;11867260;11894840;11994312;12111703;12114445;12376473;12376534;12463425;12539223;12648523;12651911;12670590;12782640;12917209;12958311;14517289;14715080;14729601;14767470;15131260;15368351;15514031;15543614;15557561;15640095;15640443;15833875;15923603;16081584;16137620;16140973;16275987;16342680;16373397;16425097;16434977;16452400;16508948;16724108;16914734;17011549;17075604;17094454;17426252;17433535;17534890;17566103;17653089;18092350;18640093;18758709;18780293;18829551;19013180;19274665;19389135;20069563;20103546;20181722;20568894;20709811;21308712;21541973;21780100;21885566;21981678;22155408;22179832;22245379;22473899;22597536;22654108;22695118;23662037;23667504;23884959;24307657;7514587;7686046;8626436;9044850;9052414;9211894;9316650;9719026
Ar,Klk1b9,1,10075669;10547578;10625666;10898343;11006269;11034093;11059779;11238180;11299734;11377978;11504717;11532861;11571582;11867260;11894840;11994312;12111703;12114445;12376473;12376534;12463425;12539223;12648523;12651911;12670590;12782640;12917209;12958311;14517289;14715080;14729601;14767470;15131260;15368351;15514031;15543614;15557561;15640095;15640443;15833875;15923603;16081584;16137620;16140973;16275987;16342680;16373397;16425097;16434977;16452400;16508948;16724108;16914734;17011549;17075604;17094454;17426252;17433535;17534890;17566103;17653089;18092350;18640093;18758709;18780293;18829551;19013180;19274665;19389135;20069563;20103546;20181722;20568894;20709811;21308712;21541973;21780100;21885566;21981678;22155408;22179832;22245379;22473899;22597536;22654108;22695118;23662037;23667504;23884959;24307657;7514587;7686046;8626436;9044850;9052414;9211894;9316650;9719026
Ar,Klk1b1,1,10075669;10547578;10625666;10898343;11006269;11034093;11059779;11238180;11299734;11377978;11504717;11532861;11571582;11867260;11894840;11994312;12111703;12114445;12376473;12376534;12463425;12539223;12648523;12651911;12670590;12782640;12917209;12958311;14517289;14715080;14729601;14767470;15131260;15368351;15514031;15543614;15557561;15640095;15640443;15833875;15923603;16081584;16137620;16140973;16275987;16342680;16373397;16425097;16434977;16452400;16508948;16724108;16914734;17011549;17075604;17094454;17426252;17433535;17534890;17566103;17653089;18092350;18640093;18758709;18780293;18829551;19013180;19274665;19389135;20069563;20103546;20181722;20568894;20709811;21308712;21541973;21780100;21885566;21981678;22155408;22179832;22245379;22473899;22597536;22654108;22695118;23662037;23667504;23884959;24307657;7514587;7686046;8626436;9044850;9052414;9211894;9316650;9719026
Ar,Klk1b11,1,10075669;10547578;10625666;10898343;11006269;11034093;11059779;11238180;11299734;11377978;11504717;11532861;11571582;11867260;11894840;11994312;12111703;12114445;12376473;12376534;12463425;12539223;12648523;12651911;12670590;12782640;12917209;12958311;14517289;14715080;14729601;14767470;15131260;15368351;15514031;15543614;15557561;15640095;15640443;15833875;15923603;16081584;16137620;16140973;16275987;16342680;16373397;16425097;16434977;16452400;16508948;16724108;16914734;17011549;17075604;17094454;17426252;17433535;17534890;17566103;17653089;18092350;18640093;18758709;18780293;18829551;19013180;19274665;19389135;20069563;20103546;20181722;20568894;20709811;21308712;21541973;21780100;21885566;21981678;22155408;22179832;22245379;22473899;22597536;22654108;22695118;23662037;23667504;23884959;24307657;7514587;7686046;8626436;9044850;9052414;9211894;9316650;9719026
Ar,Klk1b27,1,10075669;10547578;10625666;10898343;11006269;11034093;11059779;11238180;11299734;11377978;11504717;11532861;11571582;11867260;11894840;11994312;12111703;12114445;12376473;12376534;12463425;12539223;12648523;12651911;12670590;12782640;12917209;12958311;14517289;14715080;14729601;14767470;15131260;15368351;15514031;15543614;15557561;15640095;15640443;15833875;15923603;16081584;16137620;16140973;16275987;16342680;16373397;16425097;16434977;16452400;16508948;16724108;16914734;17011549;17075604;17094454;17426252;17433535;17534890;17566103;17653089;18092350;18640093;18758709;18780293;18829551;19013180;19274665;19389135;20069563;20103546;20181722;20568894;20709811;21308712;21541973;21780100;21885566;21981678;22155408;22179832;22245379;22473899;22597536;22654108;22695118;23662037;23667504;23884959;24307657;7514587;7686046;8626436;9044850;9052414;9211894;9316650;9719026
Ar,Klk1b22,1,10075669;10547578;10625666;10898343;11006269;11034093;11059779;11238180;11299734;11377978;11504717;11532861;11571582;11867260;11894840;11994312;12111703;12114445;12376473;12376534;12463425;12539223;12648523;12651911;12670590;12782640;12917209;12958311;14517289;14715080;14729601;14767470;15131260;15368351;15514031;15543614;15557561;15640095;15640443;15833875;15923603;16081584;16137620;16140973;16275987;16342680;16373397;16425097;16434977;16452400;16508948;16724108;16914734;17011549;17075604;17094454;17426252;17433535;17534890;17566103;17653089;18092350;18640093;18758709;18780293;18829551;19013180;19274665;19389135;20069563;20103546;20181722;20568894;20709811;21308712;21541973;21780100;21885566;21981678;22155408;22179832;22245379;22473899;22597536;22654108;22695118;23662037;23667504;23884959;24307657;7514587;7686046;8626436;9044850;9052414;9211894;9316650;9719026
Ar,Klk1b21,1,10075669;10547578;10625666;10898343;11006269;11034093;11059779;11238180;11299734;11377978;11504717;11532861;11571582;11867260;11894840;11994312;12111703;12114445;12376473;12376534;12463425;12539223;12648523;12651911;12670590;12782640;12917209;12958311;14517289;14715080;14729601;14767470;15131260;15368351;15514031;15543614;15557561;15640095;15640443;15833875;15923603;16081584;16137620;16140973;16275987;16342680;16373397;16425097;16434977;16452400;16508948;16724108;16914734;17011549;17075604;17094454;17426252;17433535;17534890;17566103;17653089;18092350;18640093;18758709;18780293;18829551;19013180;19274665;19389135;20069563;20103546;20181722;20568894;20709811;21308712;21541973;21780100;21885566;21981678;22155408;22179832;22245379;22473899;22597536;22654108;22695118;23662037;23667504;23884959;24307657;7514587;7686046;8626436;9044850;9052414;9211894;9316650;9719026
Ar,Klk1b5,1,10075669;10547578;10625666;10898343;11006269;11034093;11059779;11238180;11299734;11377978;11504717;11532861;11571582;11867260;11894840;11994312;12111703;12114445;12376473;12376534;12463425;12539223;12648523;12651911;12670590;12782640;12917209;12958311;14517289;14715080;14729601;14767470;15131260;15368351;15514031;15543614;15557561;15640095;15640443;15833875;15923603;16081584;16137620;16140973;16275987;16342680;16373397;16425097;16434977;16452400;16508948;16724108;16914734;17011549;17075604;17094454;17426252;17433535;17534890;17566103;17653089;18092350;18640093;18758709;18780293;18829551;19013180;19274665;19389135;20069563;20103546;20181722;20568894;20709811;21308712;21541973;21780100;21885566;21981678;22155408;22179832;22245379;22473899;22597536;22654108;22695118;23662037;23667504;23884959;24307657;7514587;7686046;8626436;9044850;9052414;9211894;9316650;9719026
Ar,Klk1b16,1,10075669;10547578;10625666;10898343;11006269;11034093;11059779;11238180;11299734;11377978;11504717;11532861;11571582;11867260;11894840;11994312;12111703;12114445;12376473;12376534;12463425;12539223;12648523;12651911;12670590;12782640;12917209;12958311;14517289;14715080;14729601;14767470;15131260;15368351;15514031;15543614;15557561;15640095;15640443;15833875;15923603;16081584;16137620;16140973;16275987;16342680;16373397;16425097;16434977;16452400;16508948;16724108;16914734;17011549;17075604;17094454;17426252;17433535;17534890;17566103;17653089;18092350;18640093;18758709;18780293;18829551;19013180;19274665;19389135;20069563;20103546;20181722;20568894;20709811;21308712;21541973;21780100;21885566;21981678;22155408;22179832;22245379;22473899;22597536;22654108;22695118;23662037;23667504;23884959;24307657;7514587;7686046;8626436;9044850;9052414;9211894;9316650;9719026
Ar,Klk1b3,1,10075669;10547578;10625666;10898343;11006269;11034093;11059779;11238180;11299734;11377978;11504717;11532861;11571582;11867260;11894840;11994312;12111703;12114445;12376473;12376534;12463425;12539223;12648523;12651911;12670590;12782640;12917209;12958311;14517289;14715080;14729601;14767470;15131260;15368351;15514031;15543614;15557561;15640095;15640443;15833875;15923603;16081584;16137620;16140973;16275987;16342680;16373397;16425097;16434977;16452400;16508948;16724108;16914734;17011549;17075604;17094454;17426252;17433535;17534890;17566103;17653089;18092350;18640093;18758709;18780293;18829551;19013180;19274665;19389135;20069563;20103546;20181722;20568894;20709811;21308712;21541973;21780100;21885566;21981678;22155408;22179832;22245379;22473899;22597536;22654108;22695118;23662037;23667504;23884959;24307657;7514587;7686046;8626436;9044850;9052414;9211894;9316650;9719026
Ar,Klk1b24,1,10075669;10547578;10625666;10898343;11006269;11034093;11059779;11238180;11299734;11377978;11504717;11532861;11571582;11867260;11894840;11994312;12111703;12114445;12376473;12376534;12463425;12539223;12648523;12651911;12670590;12782640;12917209;12958311;14517289;14715080;14729601;14767470;15131260;15368351;15514031;15543614;15557561;15640095;15640443;15833875;15923603;16081584;16137620;16140973;16275987;16342680;16373397;16425097;16434977;16452400;16508948;16724108;16914734;17011549;17075604;17094454;17426252;17433535;17534890;17566103;17653089;18092350;18640093;18758709;18780293;18829551;19013180;19274665;19389135;20069563;20103546;20181722;20568894;20709811;21308712;21541973;21780100;21885566;21981678;22155408;22179832;22245379;22473899;22597536;22654108;22695118;23662037;23667504;23884959;24307657;7514587;7686046;8626436;9044850;9052414;9211894;9316650;9719026
Ar,Klk1b4,1,10075669;10547578;10625666;10898343;11006269;11034093;11059779;11238180;11299734;11377978;11504717;11532861;11571582;11867260;11894840;11994312;12111703;12114445;12376473;12376534;12463425;12539223;12648523;12651911;12670590;12782640;12917209;12958311;14517289;14715080;14729601;14767470;15131260;15368351;15514031;15543614;15557561;15640095;15640443;15833875;15923603;16081584;16137620;16140973;16275987;16342680;16373397;16425097;16434977;16452400;16508948;16724108;16914734;17011549;17075604;17094454;17426252;17433535;17534890;17566103;17653089;18092350;18640093;18758709;18780293;18829551;19013180;19274665;19389135;20069563;20103546;20181722;20568894;20709811;21308712;21541973;21780100;21885566;21981678;22155408;22179832;22245379;22473899;22597536;22654108;22695118;23662037;23667504;23884959;24307657;7514587;7686046;8626436;9044850;9052414;9211894;9316650;9719026
